Bin_Centers, Frequency
-2.796505983076767343e+00,1.597742471245129983e-02
-2.612242069482551443e+00,5.325808237483766611e-03
-2.427978155888336431e+00,1.597742471245134147e-02
-2.243714242294121419e+00,6.390969884980519933e-02
-2.059450328699905519e+00,9.586454827470779205e-02
-1.875186415105690507e+00,9.586454827470791695e-02
-1.690922501511475051e+00,9.053874003722413299e-02
-1.506658587917259817e+00,1.491226306495454512e-01
-1.322394674323044361e+00,1.864032883119318140e-01
-1.138130760728829127e+00,1.597742471245131857e-01
-9.538668471346137823e-01,2.662904118741886150e-01
-7.696029335403984373e-01,2.077065212618668943e-01
-5.853390199461829813e-01,2.556387953992207973e-01
-4.010751063519677473e-01,3.142226860115430176e-01
-2.168111927577525133e-01,2.929194530616071601e-01
-3.254727916353705730e-02,3.621549601488961434e-01
1.517166344306783987e-01,4.367162754736688690e-01
3.359805480248938547e-01,4.633453166610876917e-01
5.202444616191090887e-01,4.100872342862510456e-01
7.045083752133243227e-01,3.621549601488961434e-01
8.887722888075397787e-01,3.142226860115422404e-01
1.073036202401755013e+00,2.449871789242538400e-01
1.257300115995970469e+00,1.917290965494151400e-01
1.441564029590185925e+00,1.917290965494160560e-01
1.625827943184400937e+00,9.053874003722424402e-02
1.810091856778616393e+00,5.325808237483753427e-02
1.994355770372831849e+00,3.195484942490268293e-02
2.178619683967046861e+00,2.662904118741889550e-02
2.362883597561262317e+00,1.597742471245125820e-02
2.547147511155477773e+00,1.597742471245134147e-02
