X, Y, Y_up, Y_low
-4.500000000000000111e-01,7.158052305436609686e+02,3.005268410357165294e+02,1.140387419451908499e+03
-3.499999999999999778e-01,2.264994513616973109e+03,1.868650143572282786e+03,2.689506236913330667e+03
-2.500000000000000000e-01,3.819110680983111706e+03,3.404138217970236383e+03,4.239682761126455262e+03
-1.499999999999999944e-01,5.367567274131688464e+03,4.960082585436057343e+03,5.780434810992353960e+03
-5.000000000000000278e-02,6.915327296785655562e+03,6.507011053119023927e+03,7.322171076559759967e+03
0.000000000000000000e+00,7.683482880671346720e+03,7.282926758251580395e+03,8.087630259418004243e+03
5.000000000000000278e-02,8.452861116243817378e+03,8.051589766240710560e+03,8.856531583519881679e+03
1.499999999999999944e-01,9.986285994123409182e+03,9.588574212899415215e+03,1.038325547460058442e+04
2.500000000000000000e-01,1.151663354784813055e+04,1.112204856415135328e+04,1.191026393584864672e+04
3.499999999999999778e-01,1.304712185005379433e+04,1.265581062764745730e+04,1.343806046610254270e+04
4.500000000000000111e-01,1.457604686258433867e+04,1.418693493927960844e+04,1.496525138884539228e+04
